Molecule ChEMBL ID,Smiles,score,Active_pred
,COc1cc2c(cc1OC)/C(=N/NC(N)=S)CC2,0.9799091219902039,1
,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc2ccccc2c1,0.9797837734222412,1
,Cc1ccc2ccc3c(ccc4c5cccc(C)c5ccc43)c2c1,0.9797444343566895,1
,Cc1occc1-c1nn2c(-c3ccco3)nnc2s1,0.9797171950340271,1
,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1ccccc1,0.9796687960624695,1
,C/C(=N\NC(N)=S)c1sc(C)nc1C,0.9795761108398438,1
,CCOC(=O)[C](C)Oc1ccc(CCCOCc2ccccc2)cc1OC,0.9794904589653015,1
,CCNC(=S)N/N=C(\C)c1ccc2ccccc2c1,0.9794071912765503,1
,C#CCC1(Cc2ccc(OC)cc2)C(=O)OC(C)(C)OC1=O,0.9790213108062744,1
,C/C(=N\NC(=S)Nc1ccc(C)cc1)c1ccc2ccccc2c1,0.9783992171287537,1
,C/C(=N\NC(=S)NC1CCCCC1)c1sc(C)nc1C,0.9782478213310242,1
,CCc1ccc(NC(=S)N/N=C2\CCc3cc(OC)c(OC)cc32)cc1,0.9780418276786804,1
,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,0.977837860584259,1
,CCO[Si](CCCOCC1CO1)(OCC)OCC,0.977665901184082,1
,CCNC(=S)N/N=C(\C)c1sc(C)nc1C,0.9776541590690613,1
,Sc1nnc(Cc2ccc(Br)cc2)o1,0.9775077700614929,1
,CC(=O)OC(CCC1(C)OC1COc1ccc(CCNC(=O)c2ccccc2)cc1)C(C)(C)OC(C)=O,0.9772288799285889,1
,C/C(=N\NC(=S)Nc1cccc(F)c1)c1ccc2ccccc2c1,0.9771620631217957,1
,CO[C]1CC[C]2[C@@]3(C)CCC(=O)C(C)(C)[C]3CC[C@@]2(C)O1,0.9771263003349304,1
,COC(=O)c1cc(-c2ccc(C=O)cc2)ccc1-c1ccc(C=O)cc1,0.9770057201385498,1
,O=C(Cc1ccc(Br)cc1)N/N=C/c1ccco1,0.9769807457923889,1
,c1csc(C2=NSc3ccccc3N2)c1,0.9769065976142883,1
,C/C(=N\NC(=S)Nc1ccccc1)c1ccc2ccccc2c1,0.9767372012138367,1
,COC(=O)c1cc(-c2ccc(C)cc2)ccc1-c1ccc(C)cc1,0.9766020178794861,1
,COC(=O)c1cc(-c2ccc(Cl)c(Cl)c2)ccc1-c1ccc(Cl)c(Cl)c1,0.976498544216156,1
,COc1cc2c(cc1OC)/C(=N/NC(=S)NC1CCCCC1)CC2,0.9764822125434875,1
,COC(=O)c1cc(-c2ccc(Cl)cc2)ccc1-c1ccc(Cl)cc1,0.9764373302459717,1
,CCc1ccc(NC(=S)N/N=C(\C)c2nccnc2C)cc1,0.9761826395988464,1
,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1ccccc1)CC2,0.9758892059326172,1
,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1ccc(Cl)cc1)CC2,0.9756395220756531,1
,C/C(=N\NC(=S)Nc1cccc(Br)c1)c1ccc2ccccc2c1,0.9753977656364441,1
,CC(=O)OC(CCC1(C)OC1Oc1ccc(CCNC(O)C(C)=C(C)C)cc1)C(C)(C)OC(C)=O,0.9749725461006165,1
,C/C(=N\NC(=S)Nc1cccc(Br)c1)c1nccnc1C,0.9748088121414185,1
,O=C(Cc1ccc(Br)cc1)N/N=C/c1ccccc1OCc1ccccc1,0.974522054195404,1
,C/C(=N\NC(=S)Nc1ccc(F)cc1)c1nccnc1C,0.9745117425918579,1
,C/C(=N\NC(=S)Nc1ccccc1)c1nccnc1C,0.9742798805236816,1
,C/C(=N\NC(=S)Nc1ccccc1)c1sc(C)nc1C,0.9742708206176758,1
,COc1ccc(CC2(Cc3ccccc3)C(=O)OC(C)(C)OC2=O)cc1,0.9741129875183105,1
,C/C(=N\NC(=S)Nc1ccc(F)cc1)c1sc(C)nc1C,0.9740976095199585,1
,O=c1c(O[C@]2C(CO)O[C@](O)[C@](O)C2O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0.9739229679107666,1
,CCc1ccc(NC(=S)N/N=C(\C)c2sc(C)nc2C)cc1,0.9738396406173706,1
,Oc1cc(O)c2c(c1)O[C@](c1ccc(O)c(O)c1)[C@](O)C2,0.973459005355835,1
,CCCc1ccccc1/N=C(\N)c1ccccc1,0.9732822775840759,1
,C/C(=N\NC(=S)Nc1cccc(Br)c1)c1sc(C)nc1C,0.9729996919631958,1
,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1cccc(Br)c1)CC2,0.9729486107826233,1
,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1ccc(F)cc1)CC2,0.9726842641830444,1
,CCC(=O)OCCn1c([N+](=O)[O-])cnc1C,0.9724469184875488,1
,C/C(=N\NC(=S)Nc1cccc(Cl)c1)c1ccc2ccccc2c1,0.9723963737487793,1
,CCCCC(=O)OCCn1c([N+](=O)[O-])cnc1C,0.9723548293113708,1
,C/C(=N\NC(=S)Nc1cccc(Cl)c1)c1nccnc1C,0.9716084599494934,1
,C/C(=N\NC(=S)Nc1cccc(Cl)c1)c1sc(C)nc1C,0.9712372422218323,1
,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1cccc(Cl)c1)CC2,0.970887303352356,1
,c1ccc(C2=NSc3ccccc3N2)nc1,0.9707756042480469,1
,COC(=O)c1cc(-c2cc(F)ccc2F)ccc1-c1cc(F)ccc1F,0.9703602194786072,1
,O=C(Cc1ccc(Br)cc1)N/N=C/c1ccc(OCc2ccccc2)cc1O,0.9701148271560669,1
,COc1cccc(NC(=S)N/N=C(\C)c2ccc3ccccc3c2)c1,0.9697142243385315,1
,C/C(=N\NC(N)=S)c1ccc2c(c1)CCO2,0.969465970993042,1
,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,0.9694469571113586,1
,O=C(COC(=O)c1ccc(F)c(Cl)c1)c1ccc(Cl)cc1,0.9694119095802307,1
,CC(=O)CC(=O)O[C@]1CC[C@]2(C)C3CCC4C5[C@@](C(C)=O)CCC5CC[C@@]4(C)[C@]3(C)CCC2[C@@]1(C)C(=O)O,0.969385027885437,1
,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.9692743420600891,1
,Fc1cc(Cl)ccc1-c1nn2c(-c3ccco3)nnc2s1,0.9690955281257629,1
,O=C(COC(=O)c1ccc(F)c(Cl)c1)c1ccc(F)cc1,0.9689555764198303,1
,O=C(COC(=O)c1ccc(F)c(Cl)c1)c1ccc(-c2ccccc2)cc1,0.9688622355461121,1
,O=C(O)/C(=C\c1ccccn1)N1C(=O)c2ccccc2C1=O,0.9688132405281067,1
,Cc1ccc(C(=O)COC(=O)c2ccc(F)c(Cl)c2)cc1,0.9687882661819458,1
,C/C(=N\NC(=S)NCc1ccccc1Cl)c1ccc2ccccc2c1,0.9685505032539368,1
,c1coc(-c2nnc3sc(-c4ccoc4)nn23)c1,0.9685139060020447,1
,O=C(COC(=O)c1ccc(F)c(Cl)c1)c1ccc(Cl)c(Cl)c1,0.9684281349182129,1
,COc1ccc(CCc2nnc(S)o2)cc1,0.9678846597671509,1
,O=C(COC(=O)c1ccccc1Br)c1ccc(Cl)c(Cl)c1,0.9677015542984009,1
,O=C(COC(=O)c1ccccc1Br)c1ccc(Cl)cc1,0.9675722718238831,1
,Cc1ccc(C(=O)COC(=O)c2ccccc2Br)cc1,0.9672442674636841,1
,Fc1ccc(Cc2nn3c(-c4ccco4)nnc3s2)cc1,0.9669927358627319,1
,COc1c2ccoc2nc2c(CC=C(C)C)c(O)ccc12,0.9668418765068054,1
,O=C(COC(=O)c1ccc(F)c(Cl)c1)c1ccc2ccccc2c1,0.9665202498435974,1
,C/C(=N\NC(=S)Nc1ccccc1)c1ccc2c(c1)CCO2,0.9661659002304077,1
,C/C(=N\NC(=S)NCCN1CCOCC1)c1ccc2ccccc2c1,0.9661481976509094,1
,O=C(O)/C(=C\c1ccc(Cl)cc1)N1C(=O)c2ccccc2C1=O,0.9660459756851196,1
,O=C(O)/C(=C\c1ccc(O)cc1)N1C(=O)c2ccccc2C1=O,0.9659916758537292,1
,O=C(COC(=O)c1ccccc1Br)c1ccc(F)cc1,0.9658867120742798,1
,C/C(=N\NC(=S)NC1CCCCC1)c1ccc2c(c1)CCO2,0.9657801389694214,1
,O=C(CO)Oc1c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c2c1=O,0.9657310247421265,1
,CC1=CCC(C(C)(C)O)CC=C(C)CCCC(C)=CCC1,0.9656379818916321,1
,CCOc1ccc(Cc2nn3c(-c4ccco4)nnc3s2)cc1,0.9655799269676208,1
,CCCc1ccccc1/N=C(\N)c1ccccn1,0.965494692325592,1
,COc1ccc(C(=O)COC(=O)c2ccc(F)c(Cl)c2)cc1,0.9654015898704529,1
,COc1ccc(C(=O)COC(=O)c2ccccc2Br)cc1,0.9653657078742981,1
,O=C(COC(=O)c1ccccc1Br)c1ccc2ccccc2c1,0.9651325941085815,1
,C/C(=N\NC(=S)NC(=O)c1ccccc1)c1ccc2c(c1)CCO2,0.9650411605834961,1
,O=C(COC(=O)c1ccccc1Br)c1ccc(-c2ccccc2)cc1,0.9649811387062073,1
,Cc1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)cc1,0.9649185538291931,1
,O=C(O)/C(=C\c1ccccc1)N1C(=O)c2ccccc2C1=O,0.9649185538291931,1
,O=C(O)/C(=C\c1cccc(Cl)c1)N1C(=O)c2ccccc2C1=O,0.9649185538291931,1
,COc1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)cc1OC,0.9648771286010742,1
,COc1cc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)ccc1O,0.9645630121231079,1
,CC1=CC(O)CC2(C)OC2CC2(C(C)C)CCC(C)(O2)C(O)CC1,0.9638435244560242,1
,O=C(O)/C(=C/c1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)cc1)N1C(=O)c2ccccc2C1=O,0.9637579321861267,1
,CSc1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)cc1,0.9635811448097229,1
,C/C(=N\NC(=S)Nc1ccccc1C)c1ccc2c(c1)CCO2,0.9634935259819031,1
,COc1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)cc1,0.9634642004966736,1
,O=C(O)/C(=C\c1ccc(O)cc1O)N1C(=O)c2ccccc2C1=O,0.9628850221633911,1
,COC(=O)c1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)cc1,0.9627283215522766,1
,CC1=CC=C(C(C)C)CCC(C)=CCCC(C)=CCC1,0.9625903367996216,1
,CC[C](CC[C](C)C1CCC2C3CC=C4C[C](O)CC[C@]4(C)C3CC[C@]12C)C(C)C,0.9624109864234924,1
,COc1ccccc1CCc1nnc(S)o1,0.9620802998542786,1
,C/C(=N\NC(=S)Nc1ccc(F)cc1)c1ccc2c(c1)CCO2,0.9620097875595093,1
,O=C(O)/C(=C\c1cccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)c1)N1C(=O)c2ccccc2C1=O,0.96195387840271,1
,O=C(O)/C(=C\c1cccc(Br)c1)N1C(=O)c2ccccc2C1=O,0.9614360928535461,1
,Cc1ccc(/C=C(\C(=O)O)N2C(=O)c3ccccc3C2=O)c(C)c1,0.9613118171691895,1
,O=C(O)/C(=C\c1ccccc1O)N1C(=O)c2ccccc2C1=O,0.9610163569450378,1
,O=S1N=C(c2ccccn2)Nc2ccccc21,0.9606629610061646,1
,NC(=S)N/N=C/c1ccc([N+](=O)[O-])cc1,0.9606378674507141,1
,CC1=CCC2(C(C)C)CCC(C)(O2)C2CCC(C)(CCC1)O2,0.9603890180587769,1
,C=C(C)C1CCC(C)=CCC=C(C)CCC=C(C)CC1,0.9603471159934998,1
,C=C1[C]2CC/C(C)=C/CC/C(C)=C/[C]2OC1=O,0.9603224992752075,1
,COc1ccccc1/C=C(\C(=O)O)N1C(=O)c2ccccc2C1=O,0.9590968489646912,1
,Fc1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1Cl,0.9590389132499695,1
,COc1cccc(CCc2nnc(S)o2)c1,0.9590378403663635,1
,Cc1occc1-c1nn2c(-c3ccncc3)nnc2s1,0.9590075612068176,1
,COc1ccc(OCc2nn3c(-c4ccco4)nnc3s2)cc1,0.958980143070221,1
,C/C1=C\CC[C@]2(C)O[C]2C[C@]2(C(C)C)CC[C@@](C)(O2)C(=O)CC1,0.9587189555168152,1
,COc1cccc(NC(=S)N/N=C(\C)c2ccc3c(c2)CCO3)c1,0.9572649002075195,1
,C/C1=C\C[C@]2(C(C)C)CC[C@@](C)(O2)C(=O)CC/C(C)=C/CC1,0.9568126201629639,1
,CC1=CCC2(C(C)C)CCC(C)(O2)C2CCC(C)(O2)C(O)CC1,0.9566981792449951,1
